EEG(uV),delta,theta,alpha,beta
5.88379,-4.21212,1.11559,0.541237,0.399509
3.35083,-4.5753,1.77057,-0.657177,2.19382
2.70996,-4.90997,2.35234,-1.7575,3.22135
4.94995,-5.21106,2.83074,-2.61504,2.76214
6.20117,-5.47501,3.18246,-3.13868,1.39525
2.88086,-5.69929,3.39497,-3.27996,0.300239
-3.56445,-5.88243,3.46514,-3.048,-0.190198
-6.62842,-6.02521,3.3919,-2.53466,-0.786416
-3.90625,-6.13176,3.17156,-1.89382,-1.84848
1.95923,-6.20911,2.80353,-1.25972,-2.36722
6.32324,-6.26483,2.30325,-0.666891,-0.966171
5.57251,-6.30444,1.71014,-0.048798,2.11744
2.18506,-6.3303,1.08228,0.676565,4.57831
-0.769043,-6.34244,0.480194,1.50569,3.97658
0.0915527,-6.3403,-0.0487922,2.31797,0.198393
2.59399,-6.32373,-0.476222,2.93528,-4.13439
2.89307,-6.29283,-0.788559,3.21661,-5.8674
0.219727,-6.24736,-0.981712,3.11041,-4.06389
-1.94092,-6.18692,-1.06037,2.64131,-0.622291
-0.0183105,-6.11158,-1.03969,1.87555,1.78757
4.30908,-6.0221,-0.942454,0.914344,2.22437
6.73828,-5.91897,-0.790769,-0.0938282,1.80239
5.10254,-5.80131,-0.599274,-0.97114,1.80538
1.67847,-5.66676,-0.376728,-1.57466,2.04103
0.427246,-5.51263,-0.133885,-1.86008,1.3502
1.83105,-5.33725,0.110974,-1.88611,-0.580409
3.75366,-5.14035,0.33438,-1.75629,-2.48208
3.90625,-4.92258,0.514865,-1.55301,-2.76614
2.46582,-4.68484,0.638008,-1.31492,-1.24143
1.5564,-4.42828,0.696177,-1.05704,0.701168
2.19727,-4.15466,0.685892,-0.794913,1.54532
3.44238,-3.86645,0.607066,-0.545285,1.04901
4.13208,-3.5665,0.464662,-0.312481,0.163892
3.00903,-3.25757,0.269782,-0.0859105,-0.178723
1.69067,-2.9423,0.0377097,0.143446,0.0358746
0.286865,-2.62347,-0.216183,0.364275,0.166127
-0.537109,-2.30457,-0.479783,0.54357,-0.198762
-1.45264,-1.98991,-0.745081,0.643507,-0.794258
-1.52588,-1.68465,-1.00689,0.64249,-1.02751
-0.708008,-1.39434,-1.26047,0.548786,-0.566055
1.45264,-1.12437,-1.49855,0.404053,0.437783
2.55737,-0.879048,-1.70873,0.275698,1.51539
1.65405,-0.66091,-1.87318,0.233696,2.10875
-0.305176,-0.470635,-1.97247,0.314864,1.75024
-0.78125,-0.307653,-1.992,0.496577,0.368432
0.250244,-0.170845,-1.92627,0.70537,-1.41167
0.933838,-0.0587644,-1.77835,0.857292,-2.5049
0.592041,0.0305577,-1.55655,0.896679,-2.21836
-0.561523,0.0997071,-1.27234,0.806516,-0.900375
-0.799561,0.151636,-0.940299,0.596205,0.391883
-0.494385,0.189302,-0.578322,0.28985,0.882014
0.402832,0.215551,-0.205826,-0.0744502,0.664627
1.48315,0.233288,0.159282,-0.442665,0.379554
2.49634,0.245788,0.503339,-0.750864,0.47796
2.86255,0.256916,0.818046,-0.940632,0.845898
2.53296,0.271111,1.09956,-0.978194,1.00499
1.66016,0.293045,1.34596,-0.868756,0.581635
-0.231934,0.327028,1.55412,-0.658891,-0.375657
-3.60107,0.37622,1.71694,-0.426445,-1.45696
-7.40356,0.441716,1.82133,-0.262785,-2.20979
-8.63647,0.521718,1.84803,-0.248077,-2.34343
-7.72095,0.611341,1.77561,-0.416914,-1.66144
-3.11279,0.703542,1.58927,-0.723817,-0.0293573
2.24609,0.791113,1.29154,-1.03194,2.3792
6.2561,0.869104,0.909698,-1.14524,4.79353
6.5979,0.936605,0.494591,-0.885195,5.92767
2.70386,0.996939,0.108875,-0.185023,4.6083
-1.27563,1.05607,-0.191518,0.84748,0.6809
-1.19019,1.12019,-0.3736,1.94604,-4.40912
3.26538,1.19405,-0.431853,2.79142,-7.99952
8.01392,1.28114,-0.379377,3.15284,-7.77278
10.675,1.38508,-0.234066,2.97625,-3.6128
9.09424,1.51073,-0.0107219,2.36852,1.9287
6.67114,1.66397,0.276683,1.50479,5.32823
4.35791,1.85025,0.607319,0.534578,4.71012
2.88696,2.07283,0.948379,-0.455384,1.15858
1.68457,2.33179,1.25653,-1.42106,-2.37818
-0.415039,2.62362,1.48428,-2.32253,-3.49647
-1.50146,2.94138,1.58742,-3.10125,-1.92829
-1.50757,3.2752,1.53165,-3.67893,0.807958
0.701904,3.61311,1.2986,-3.96585,2.9794
3.75977,3.94249,0.891319,-3.87186,3.84599
5.40161,4.25179,0.337389,-3.32561,3.64035
5.11475,4.53191,-0.313523,-2.30871,2.76221
2.11182,4.77651,-0.99889,-0.895478,1.23613
-0.653076,4.98135,-1.65677,0.728206,-1.02868
-1.30615,5.14304,-2.23768,2.29279,-3.58965
0.00610352,5.25826,-2.70938,3.52132,-5.2825
2.39258,5.32394,-3.05377,4.21994,-4.92668
5.05371,5.33819,-3.26005,4.33449,-2.37692
7.10449,5.30138,-3.31917,3.94835,1.13857
8.39233,5.21685,-3.2224,3.23157,3.77776
7.9895,5.09088,-2.96404,2.37061,4.27615
6.7749,4.93204,-2.54657,1.50804,2.6279
5.0415,4.74993,-1.9859,0.711791,-0.098101
2.66724,4.55382,-1.31411,-0.0198655,-2.49197
1.02539,4.35135,-0.578604,-0.72697,-3.55522
1.14746,4.1478,0.16283,-1.44542,-3.04308
2.20947,3.94597,0.850509,-2.16796,-1.32063
2.70386,3.74681,1.43274,-2.82574,0.923026
0.671387,3.55021,1.873,-3.30607,2.82365
-2.55127,3.35528,2.15105,-3.50248,3.51851
-6.03027,3.15998,2.25896,-3.36732,2.58607
-7.44019,2.96052,2.19634,-2.93128,0.502737
-6.01196,2.75118,1.96929,-2.27732,-1.43839
-3.9917,2.5252,1.59419,-1.48945,-1.92289
-2.51465,2.27631,1.10249,-0.615809,-0.62627
-1.42212,2.00018,0.541741,0.327775,1.43227
-0.732422,1.69533,-0.0291092,1.32471,2.64858
0.909424,1.36332,-0.547697,2.32676,2.09697
2.2644,1.00872,-0.956192,3.2473,0.172968
3.02734,0.638765,-1.20751,3.97706,-1.8811
3.67432,0.262987,-1.26995,4.4074,-3.01522
3.37524,-0.107562,-1.13065,4.45112,-3.00536
2.87476,-0.461201,-0.797256,4.0588,-2.30159
3.77197,-0.786579,-0.297402,3.23149,-1.45509
5.68848,-1.07336,0.325231,2.03185,-0.653429
8.09326,-1.31236,1.01809,0.589857,0.276244
10.1013,-1.49535,1.72783,-0.909553,1.43719
9.65576,-1.61478,2.40605,-2.26376,2.48886
7.2876,-1.66417,3.01042,-3.30645,2.74456
5.02319,-1.63901,3.50201,-3.95467,1.72578
4.41284,-1.53803,3.84274,-4.21979,-0.239079
6.34155,-1.36374,3.99729,-4.17268,-1.97467
7.59888,-1.12205,3.93983,-3.88703,-2.23703
6.73218,-0.821241,3.66108,-3.40417,-0.79243
5.85327,-0.471143,3.1703,-2.74209,1.2355
4.57764,-0.0828269,2.49194,-1.92749,2.28016
4.53491,0.331433,1.66068,-1.01467,1.68476
4.46167,0.75839,0.717818,-0.07856,0.141889
3.9856,1.18433,-0.290673,0.804874,-1.08961
4.75464,1.5957,-1.31593,1.57401,-1.27672
5.86548,1.97971,-2.30805,2.18912,-0.587222
7.44629,2.32511,-3.2176,2.63569,0.338448
8.35571,2.62293,-3.9972,2.92132,0.938848
8.73413,2.86689,-4.60435,3.06317,0.954455
7.40967,3.05351,-5.00565,3.07059,0.389856
4.59595,3.18152,-5.18205,2.93085,-0.589635
2.14233,3.25085,-5.13367,2.60675,-1.70405
2.12402,3.26161,-4.88133,2.05544,-2.50621
4.19922,3.21362,-4.46208,1.26828,-2.39904
5.71899,3.10694,-3.91961,0.308695,-1.00129
4.44336,2.94276,-3.29498,-0.687319,1.27569
3.05786,2.72381,-2.62286,-1.5586,3.1577
3.38135,2.45407,-1.93305,-2.17963,3.41336
4.19312,2.1383,-1.25193,-2.48967,1.99164
3.22876,1.782,-0.601599,-2.48598,0.05014
1.02539,1.39125,0.000711678,-2.2106,-1.2228
0.646973,0.97235,0.541111,-1.74381,-1.56321
2.45972,0.53131,1.00787,-1.18713,-1.357
4.88892,0.0740249,1.39366,-0.628197,-0.846308
5.95703,-0.393061,1.6996,-0.111735,-0.0120768
4.8584,-0.862408,1.9362,0.35558,0.908223
3.69263,-1.32556,2.11927,0.771477,1.25849
2.67944,-1.77397,2.26324,1.10891,0.563916
2.44751,-2.19988,2.37647,1.3171,-0.833
3.56445,-2.59681,2.4607,1.34873,-1.9244
4.61426,-2.95957,2.51393,1.19126,-1.84692
4.44336,-3.28389,2.53412,0.880374,-0.58815
4.39453,-3.56615,2.52105,0.486141,0.988714
4.55322,-3.80347,2.47575,0.0847532,1.84395
4.35791,-3.99383,2.3994,-0.263251,1.57778
3.6438,-4.13616,2.29272,-0.522009,0.599223
2.94189,-4.23057,2.15538,-0.681839,-0.383176
3.08838,-4.27842,1.98575,-0.754606,-0.897168
3.91846,-4.28237,1.78183,-0.761222,-0.835021
4.11987,-4.24599,1.54336,-0.716859,-0.334676
3.71094,-4.17341,1.27348,-0.625843,0.298835
4.64478,-4.06903,0.978749,-0.488721,0.693434
6.71387,-3.93725,0.668598,-0.308502,0.679465
8.74023,-3.7821,0.355836,-0.0875401,0.458676
8.88672,-3.60657,0.057056,0.174103,0.328145
6.96411,-3.41254,-0.209725,0.465596,0.232928
4.38232,-3.20132,-0.430761,0.744672,-0.226656
2.75269,-2.97476,-0.60254,0.933248,-1.23629
3.88184,-2.73608,-0.733563,0.945439,-2.28381
7.32422,-2.48991,-0.839617,0.738315,-2.37352
11.1023,-2.24119,-0.934546,0.353277,-0.869661
12.0178,-1.99375,-1.0222,-0.0864012,1.72744
9.69238,-1.74939,-1.09542,-0.431894,3.82085
6.92749,-1.50841,-1.14315,-0.58812,3.77357
6.22559,-1.27083,-1.15994,-0.560025,1.30488
7.39136,-1.03759,-1.15042,-0.432269,-2.02278
8.71582,-0.81069,-1.12619,-0.303932,-3.90837
8.3374,-0.592609,-1.09936,-0.232874,-3.17319
6.79932,-0.385861,-1.07863,-0.225334,-0.675989
4.82788,-0.193027,-1.06983,-0.261678,1.54886
3.44849,-0.0171868,-1.07844,-0.32433,2.04826
3.39966,0.137724,-1.11068,-0.404496,0.983783
3.85132,0.267035,-1.17172,-0.489551,-0.306784
3.13721,0.365867,-1.26225,-0.550462,-0.619922
2.7771,0.429725,-1.37663,-0.546483,0.139172
3.53394,0.454877,-1.50327,-0.442765,1.11827
5.64575,0.438751,-1.62561,-0.221779,1.50007
6.44531,0.38049,-1.72247,0.117044,1.18131
6.19507,0.281438,-1.76939,0.55589,0.529802
6.01196,0.145126,-1.74262,1.04891,-0.201357
6.48804,-0.0231804,-1.62429,1.51898,-0.970215
6.25,-0.217025,-1.40579,1.87345,-1.64629
5.71289,-0.429232,-1.08886,2.02977,-1.9574
5.71289,-0.652387,-0.685419,1.93562,-1.74796
6.63452,-0.879239,-0.216032,1.58143,-1.09686
6.50635,-1.1029,0.29316,1.00631,-0.203917
5.32837,-1.31693,0.813713,0.290473,0.663562
3.68652,-1.51567,1.31643,-0.468774,1.16534
2.98462,-1.69472,1.77168,-1.18323,1.08014
2.85034,-1.85137,2.15063,-1.78468,0.58072
3.25317,-1.98457,2.42851,-2.22,0.173233
3.62549,-2.09457,2.58859,-2.44453,0.255733
3.43018,-2.18237,2.6248,-2.42496,0.745616
4.01001,-2.24938,2.54208,-2.15076,1.16203
4.38232,-2.29705,2.35492,-1.64371,1.07677
5.9021,-2.32669,2.08529,-0.957229,0.484586
6.56128,-2.3391,1.76067,-0.166538,-0.247316
6.68945,-2.33433,1.4115,0.642112,-0.756206
5.57861,-2.3118,1.0675,1.37716,-0.997612
4.67529,-2.27064,0.752907,1.94546,-1.18469
4.67529,-2.21034,0.482976,2.26347,-1.43186
6.38428,-2.13102,0.26349,2.28022,-1.50578
7.9834,-2.03331,0.0939439,2.00192,-1.00178
8.53882,-1.91778,-0.0281584,1.49841,0.159988
6.79321,-1.78463,-0.105421,0.878728,1.4231
4.31519,-1.63402,-0.142594,0.24658,1.89744
3.31421,-1.46683,-0.150262,-0.334738,1.13227
6.17676,-1.28531,-0.145444,-0.840887,-0.3077
10.3943,-1.09271,-0.146115,-1.2503,-1.11448
12.5488,-0.89201,-0.162529,-1.51087,-0.363748
10.8582,-0.684707,-0.192736,-1.55181,1.4272
8.11768,-0.470793,-0.226873,-1.3389,2.51545
7.56836,-0.249836,-0.256542,-0.921504,1.52717
8.31909,-0.0221432,-0.281015,-0.422203,-1.0749
8.3313,0.210846,-0.306457,0.0220325,-3.30358
8.02002,0.446777,-0.341563,0.31567,-3.49867
7.22046,0.682634,-0.394288,0.423959,-1.73412
6.64673,0.914822,-0.4707,0.36285,0.532851
5.76782,1.13916,-0.574778,0.179836,1.87449
5.10864,1.35091,-0.708226,-0.0633046,1.88526
6.14014,1.54495,-0.869881,-0.302368,1.13546
6.87866,1.71617,-1.05431,-0.475896,0.495155
7.56836,1.8601,-1.25028,-0.529256,0.443
7.09839,1.97344,-1.44089,-0.426219,0.770749
6.18896,2.05422,-1.60638,-0.165861,0.856862
5.7373,2.10157,-1.72836,0.208209,0.274555
5.15747,2.11537,-1.79329,0.616913,-0.794395
5.08423,2.09601,-1.79394,0.970267,-1.70324
3.88184,2.04426,-1.72913,1.19354,-1.89334
2.66113,1.96115,-1.60313,1.2424,-1.33735
3.25317,1.84778,-1.42496,1.1069,-0.464995
5.51147,1.70543,-1.20627,0.814618,0.334159
7.61108,1.53605,-0.957032,0.434565,1.02727
6.75659,1.343,-0.682006,0.0650182,1.65258
4.02832,1.13121,-0.381816,-0.205733,1.86884
2.52686,0.90639,-0.0587297,-0.34439,1.14007
2.81372,0.673963,0.278209,-0.383754,-0.476486
3.24097,0.438485,0.613361,-0.388817,-1.99804
