EEG(uV),delta,theta,alpha,beta
4.90723,6.84765,0.620914,-0.246916,-1.6393
3.19824,6.46935,0.982595,0.124233,-1.3706
4.19922,6.07956,1.31636,0.38151,-1.22919
6.36597,5.68338,1.60789,0.464241,-1.11089
7.92236,5.28505,1.84531,0.375989,-0.460233
8.3374,4.88881,2.0244,0.18506,0.8552
7.53174,4.4993,2.14896,-0.0129274,2.1101
6.35376,4.1213,2.22697,-0.14398,2.31267
5.81055,3.75916,2.26562,-0.184914,1.16062
7.08008,3.41623,2.26857,-0.158604,-0.608182
7.84912,3.09478,2.23692,-0.104384,-1.77267
6.48804,2.79634,2.17179,-0.0509959,-1.6366
3.6438,2.52166,2.07464,-0.0148855,-0.625972
1.99585,2.27029,1.94471,-0.0156264,0.164753
3.15552,2.04004,1.77731,-0.0777916,0.12312
3.125,1.82706,1.56643,-0.208474,-0.281432
0.866699,1.62648,1.30934,-0.379024,-0.201924
-0.140381,1.43288,1.00831,-0.537905,0.478742
1.97144,1.24042,0.669859,-0.636017,1.13704
6.64673,1.04352,0.30593,-0.630173,1.38646
9.64966,0.838107,-0.0618904,-0.470672,1.50566
11.1938,0.62313,-0.400482,-0.108943,1.74454
12.9639,0.401122,-0.669608,0.465792,1.69158
16.571,0.177984,-0.830194,1.19597,0.751421
20.1538,-0.0374594,-0.85102,1.96362,-0.93784
23.0164,-0.233794,-0.711998,2.62703,-2.4719
23.5352,-0.397527,-0.406412,3.05411,-3.08479
20.5994,-0.514236,0.0554008,3.13465,-2.87488
16.6565,-0.570566,0.640959,2.77881,-2.58878
13.4521,-0.556663,1.29249,1.92432,-2.72787
12.2375,-0.468152,1.9303,0.568008,-2.88425
12.0972,-0.306895,2.46418,-1.19107,-2.04457
10.7788,-0.0805221,2.80912,-3.13322,0.33988
8.30078,0.198614,2.8988,-4.95173,3.55052
8.34961,0.514461,2.69323,-6.32781,5.97299
11.6394,0.848419,2.18244,-7.00184,6.44789
15.9668,1.18116,1.38984,-6.80881,5.23209
16.2476,1.49491,0.37356,-5.69333,3.45013
11.4136,1.77498,-0.780489,-3.73713,1.66798
4.77295,2.00944,-1.976,-1.1936,-0.62318
1.49536,2.18745,-3.12704,1.52299,-3.8723
4.1748,2.29769,-4.1701,3.93547,-7.04429
11.8958,2.32883,-5.06054,5.66258,-7.82632
18.7134,2.27205,-5.75858,6.55068,-4.64942
18.6584,2.12401,-6.21796,6.69089,1.31847
11.7126,1.88803,-6.38965,6.30412,6.30032
3.96118,1.57229,-6.24065,5.57375,6.56156
1.09863,1.18624,-5.77418,4.55115,1.64234
2.0813,0.737695,-5.03523,3.19832,-4.8041
5.12085,0.232348,-4.09775,1.51382,-7.75464
7.07397,-0.324938,-3.04317,-0.372095,-4.89416
8.22144,-0.928335,-1.94288,-2.20171,1.64724
8.64868,-1.56995,-0.850531,-3.6761,7.27376
8.8623,-2.23964,0.197274,-4.55926,8.55957
9.10034,-2.92538,1.17661,-4.7465,5.39853
7.88574,-3.61398,2.07127,-4.28038,0.3439
5.3894,-4.29194,2.8682,-3.32715,-3.71101
3.45459,-4.94662,3.55325,-2.13144,-5.37748
3.75977,-5.56726,4.10927,-0.955874,-4.91625
6.0791,-6.14536,4.51876,-0.0114616,-3.20499
7.87354,-6.67423,4.77034,0.598309,-0.928205
7.17163,-7.1481,4.86445,0.887768,1.34987
3.80859,-7.56174,4.81305,0.944362,2.83426
2.47192,-7.91103,4.63349,0.860865,2.76464
5.02319,-8.19374,4.34262,0.69805,1.25867
9.13086,-8.40945,3.95735,0.500937,-0.370353
10.4919,-8.55845,3.50012,0.331743,-0.654206
9.29565,-8.64062,3.00148,0.265222,0.496045
6.82983,-8.65537,2.49508,0.342237,1.58742
4.83398,-8.60258,2.00828,0.529338,1.07734
2.73438,-8.48388,1.55522,0.724404,-1.03417
1.97754,-8.30335,1.13554,0.803688,-3.21428
3.09448,-8.06768,0.738449,0.680108,-3.77484
2.75269,-7.78551,0.349962,0.344236,-2.18399
-0.164795,-7.46667,-0.0409382,-0.134259,0.588933
-4.84619,-7.1218,-0.441142,-0.648609,2.74031
-8.47778,-6.76276,-0.856776,-1.10969,2.9267
-10.0037,-6.40321,-1.29585,-1.47054,1.32287
-9.82666,-6.05836,-1.7659,-1.70824,-0.508464
-7.6355,-5.74386,-2.26729,-1.78956,-0.92351
-4.27856,-5.47393,-2.78582,-1.65346,0.489172
-3.8269,-5.25937,-3.28897,-1.22656,2.65913
-8.22144,-5.10642,-3.72967,-0.472324,3.79033
-12.1094,-5.01714,-4.05859,0.548232,2.52787
-10.7056,-4.9909,-4.23823,1.65848,-0.905817
-3.05786,-5.02515,-4.24776,2.63184,-4.36816
4.58984,-5.1144,-4.07526,3.30641,-5.12969
6.44531,-5.24822,-3.7068,3.65238,-2.32152
4.10767,-5.41028,-3.12585,3.7316,1.81935
1.34277,-5.57978,-2.32565,3.59316,3.64823
0.531006,-5.73444,-1.324,3.20783,1.4502
1.07422,-5.8532,-0.169052,2.49381,-2.94153
0.939941,-5.91778,1.0664,1.39683,-5.87836
-0.311279,-5.91336,2.29631,-0.0472455,-5.12006
-2.28882,-5.829,3.43187,-1.70512,-1.44629
-3.27759,-5.65813,4.38941,-3.38065,2.48952
-2.37427,-5.3988,5.09714,-4.85707,4.55415
-0.360107,-5.0532,5.50277,-5.92657,4.52071
0.384521,-4.62666,5.5806,-6.41363,3.54099
-0.250244,-4.12647,5.33437,-6.20724,2.63542
-0.531006,-3.5612,4.79389,-5.29829,1.83914
0.32959,-2.94048,4.00795,-3.79567,0.683728
1.54419,-2.27472,3.03761,-1.90287,-0.860039
-0.012207,-1.5747,1.95102,0.129674,-2.21995
-1.79443,-0.851277,0.817355,2.04597,-2.90059
-1.0376,-0.115581,-0.300069,3.61434,-2.92028
2.99072,0.621044,-1.34753,4.66476,-2.42367
7.14722,1.34794,-2.27872,5.13297,-1.27297
8.65479,2.05658,-3.05061,5.07549,0.548649
6.75659,2.74146,-3.62397,4.62756,2.28128
4.60205,3.39964,-3.97083,3.92594,2.65076
3.07617,4.02941,-4.08361,3.05284,1.08176
1.92261,4.62881,-3.97921,2.03608,-1.4872
0.811768,5.19483,-3.6961,0.889378,-3.24803
-0.854492,5.72317,-3.2871,-0.347635,-3.01667
-2.38037,6.20818,-2.81141,-1.59414,-1.08556
-3.61938,6.64306,-2.3275,-2.73708,1.22944
-4.6936,7.02012,-1.88697,-3.65168,2.70876
-4.95605,7.33129,-1.52958,-4.22394,2.9706
-4.47388,7.56874,-1.27944,-4.36975,2.41367
-2.87476,7.7258,-1.14258,-4.0475,1.68668
-1.22681,7.79791,-1.10622,-3.26434,1.18988
0.445557,7.78354,-1.14038,-2.07936,0.888692
0.787354,7.68475,-1.20251,-0.605527,0.455212
-0.12207,7.50718,-1.24517,0.991499,-0.4231
-0.952148,7.25935,-1.22518,2.5045,-1.75894
-1.70288,6.95164,-1.11165,3.7137,-3.13794
-2.02026,6.59528,-0.890165,4.4319,-3.87831
-1.34888,6.20161,-0.562663,4.55011,-3.45604
-1.48926,5.78178,-0.144051,4.06544,-1.88953
-2.39868,5.34656,0.342028,3.07858,0.196577
-2.948,4.90605,0.866379,1.76222,1.89509
-2.53296,4.46937,1.39665,0.318834,2.5953
2.00806,4.04459,1.90111,-1.04946,2.42021
5.7312,3.63938,2.35492,-2.15348,2.08476
4.32739,3.26198,2.74548,-2.83446,2.09359
-0.714111,2.92125,3.07032,-3.01151,1.96218
-6.20728,2.62524,3.32662,-2.73629,0.599723
-8.05054,2.37888,3.50061,-2.19394,-2.2011
-6.74438,2.18258,3.56649,-1.62374,-4.89495
-6.72607,2.03249,3.49585,-1.20614,-5.26359
-8.3252,1.92184,3.26963,-0.995748,-2.5679
-10.0464,1.84207,2.88418,-0.935927,1.53512
-10.8215,1.78346,2.35088,-0.919205,4.40235
-8.89282,1.73561,1.69388,-0.838554,4.65492
-3.88184,1.68849,0.949929,-0.60585,3.05824
0.0427246,1.63409,0.170195,-0.150818,1.45226
0.354004,1.56811,-0.580597,0.567459,0.9017
-4.11987,1.49045,-1.23287,1.51945,0.760817
-8.89282,1.40387,-1.7284,2.56142,-0.468116
-11.2915,1.31166,-2.03588,3.44266,-3.27267
-11.261,1.21564,-2.15657,3.88759,-6.16992
-11.8347,1.11559,-2.11781,3.71084,-6.8123
-12.9333,1.00968,-1.96098,2.89237,-4.17696
-11.6577,0.895183,-1.73075,1.57752,0.430587
-8.86841,0.769292,-1.46685,0.0269904,4.55913
-6.28052,0.630191,-1.19729,-1.44765,6.53948
-5.85938,0.478182,-0.93448,-2.55426,6.19709
-7.27539,0.316123,-0.677463,-3.09437,4.19832
-7.37915,0.148931,-0.419266,-3.01774,1.31429
-5.31006,-0.0173253,-0.154223,-2.4241,-1.62577
-2.69775,-0.175922,0.119679,-1.50726,-3.6136
-2.75269,-0.319441,0.40245,-0.48106,-3.92651
-5.47485,-0.439904,0.692397,0.464816,-2.85272
-8.01392,-0.529693,0.982373,1.17156,-1.60468
-7.32422,-0.58289,1.25572,1.51532,-1.16736
-5.58472,-0.596046,1.48777,1.43648,-1.27902
-5.2002,-0.567925,1.6531,0.973676,-0.837133
-6.9519,-0.498875,1.73236,0.259399,0.660762
-8.12378,-0.390607,1.71414,-0.530578,2.39794
-6.46973,-0.246351,1.59359,-1.23393,3.13226
-3.43628,-0.0706435,1.37287,-1.72569,2.57491
-1.31836,0.131576,1.06442,-1.91493,1.56964
-1.32446,0.356019,0.692724,-1.74846,0.962007
-2.81982,0.599448,0.290555,-1.23486,0.645803
-4.30298,0.85921,-0.109109,-0.466097,-0.110942
-6.06689,1.13232,-0.480981,0.392271,-1.60125
-8.20923,1.41464,-0.811718,1.14482,-3.19111
-8.22754,1.70036,-1.09996,1.62277,-3.85239
-4.84009,1.98217,-1.35214,1.73556,-2.95345
-0.238037,2.25231,-1.57423,1.50642,-0.591597
1.98975,2.50429,-1.76302,1.07103,2.40987
0.286865,2.73426,-1.90343,0.620635,4.63711
-1.99585,2.94103,-1.97509,0.309246,4.66835
-2.70996,3.12487,-1.96328,0.184753,2.15751
-2.31323,3.28622,-1.86613,0.19013,-1.52953
-2.05078,3.42513,-1.69432,0.221219,-4.12374
-2.83813,3.54123,-1.46654,0.188555,-4.2004
-4.79126,3.63379,-1.20545,0.0462802,-2.2051
-6.26221,3.70148,-0.935882,-0.210647,0.154713
-7.04956,3.74207,-0.68367,-0.558249,1.43579
-6.75049,3.75236,-0.47303,-0.948211,1.45936
-6.81152,3.72856,-0.322461,-1.30897,1.04109
-7.94678,3.6669,-0.24132,-1.55654,0.953062
-9.28345,3.56399,-0.229266,-1.61957,1.20459
-9.53369,3.41697,-0.278286,-1.46463,1.25806
-6.98242,3.22363,-0.374486,-1.10151,0.810218
-3.33862,2.98308,-0.497344,-0.563974,0.221252
-0.427246,2.69682,-0.617598,0.113392,0.0935006
-0.177002,2.36975,-0.697918,0.895524,0.466331
-1.81885,2.01015,-0.699367,1.72062,0.587816
-3.54614,1.62859,-0.591921,2.47475,-0.361359
-4.35181,1.23635,-0.363577,3.00026,-2.28903
-4.10767,0.844014,-0.0233218,3.14424,-4.01908
-3.19214,0.460814,0.402569,2.8202,-4.18773
-2.85645,0.0945871,0.877905,2.04718,-2.38294
-3.94287,-0.248077,1.36355,0.945901,0.479213
-5.74951,-0.561916,1.82135,-0.303208,2.80554
-5.50537,-0.843351,2.21553,-1.513,3.47785
-3.53394,-1.09066,2.51482,-2.52253,2.63992
-2.02026,-1.30357,2.69701,-3.20392,1.43755
-3.21045,-1.48244,2.75302,-3.46751,0.85877
-5.10864,-1.62799,2.68628,-3.28419,0.811705
-6.03638,-1.74157,2.50763,-2.7078,0.460631
-5.70679,-1.82568,2.23057,-1.86602,-0.603584
-4.80957,-1.884,1.87019,-0.916933,-1.78814
-2.64893,-1.92087,1.44506,0.00121692,-2.12066
-0.579834,-1.94042,0.979568,0.800891,-1.22946
0.0915527,-1.94575,0.504391,1.44769,0.314288
-2.63672,-1.9386,0.0533157,1.9358,1.40522
-5.81665,-1.91987,-0.344185,2.25035,1.14562
-7.25708,-1.89088,-0.671085,2.34667,-0.460591
-4.48608,-1.85423,-0.925589,2.17289,-2.27731
4.90112,-1.81343,-1.11456,1.7299,-2.62137
14.5447,-1.77073,-1.23949,1.12775,-0.469527
15.7104,-1.72432,-1.28459,0.577923,3.38032
5.32227,-1.66732,-1.22051,0.284143,6.10454
-10.1318,-1.59054,-1.02783,0.281037,4.48195
-18.9697,-1.48808,-0.726067,0.353699,-2.11464
-18.0542,-1.36217,-0.384342,0.141394,-9.94017
-12.7563,-1.22403,-0.101793,-0.621039,-12.8918
-7.91016,-1.09056,0.0300275,-1.90021,-7.47397
-6.29883,-0.979592,-0.0409277,-3.34647,3.74902
-6.47583,-0.906307,-0.315928,-4.45789,13.7753
-7.51953,-0.881718,-0.753623,-4.80472,16.4957
-7.20825,-0.912666,-1.28722,-4.18868,10.9806
-7.30591,-1.00234,-1.84097,-2.6834,1.41263
-6.89697,-1.15073,-2.34197,-0.57752,-6.5676
-6.54297,-1.35497,-2.72767,1.72702,-9.68469
-5.92041,-1.60967,-2.9505,3.81924,-8.26123
-3.16772,-1.90717,-2.97972,5.36421,-4.76257
-0.585938,-2.23759,-2.80065,6.16038,-1.51854
0.20752,-2.58878,-2.41224,6.1599,0.483666
-0.604248,-2.94662,-1.82622,5.44434,1.29428
-1.63574,-3.29593,-1.06889,4.17032,1.22913
-1.61133,-3.62184,-0.182782,2.52004,0.630837
-2.34375,-3.91104,0.775177,0.678197,-0.00465769
-4.54102,-4.15257,1.73873,-1.17495,-0.18934
-6.65894,-4.33849,2.6379,-2.8741,0.153181
-5.84717,-4.46451,3.40446,-4.28107,0.697063
-3.33252,-4.52986,3.97929,-5.28293,1.22111
-1.9043,-4.53639,4.32167,-5.78161,1.82648
-2.47192,-4.48735,4.41551,-5.70296,2.4733
-3.58887,-4.38666,4.26869,-5.03262,2.60434
-2.98462,-4.23889,3.90683,-3.84783,1.6265
-1.32446,-4.04935,3.36703,-2.31046,-0.25192
0.622559,-3.82371,2.69459,-0.623411,-1.96987
1.48315,-3.56734,1.94118,1.01715,-2.54062
1.01929,-3.28489,1.1614,2.44686,-1.94274
-0.622559,-2.98031,0.406766,3.53506,-1.05104
-2.9541,-2.6575,-0.281497,4.1804,-0.767897
-3.86353,-2.32119,-0.877707,4.31618,-1.22854
-3.85742,-1.97739,-1.37258,3.93024,-1.72843
-3.61938,-1.63341,-1.76929,3.08722,-1.37511
-3.38745,-1.29725,-2.07726,1.93161,0.0839712
-3.20435,-0.97689,-2.30699,0.661537,1.98891
-3.01514,-0.679744,-2.46705,-0.515663,3.28755
-3.19824,-0.41223,-2.56321,-1.42786,3.32078
-4.5105,-0.179587,-2.59903,-1.97028,2.17969
-5.62134,0.0140387,-2.57784,-2.12087,0.475198
-5.71899,0.165338,-2.50467,-1.93435,-1.0823
-3.60107,0.271771,-2.38628,-1.51284,-1.92478
-0.238037,0.332021,-2.22804,-0.962185,-1.73688
1.7334,0.346889,-2.02973,-0.357866,-0.629644
-0.128174,0.319966,-1.78445,0.255498,0.688794
-4.1748,0.257265,-1.48394,0.829833,1.11947
-6.03638,0.16574,-1.12806,1.27989,-0.0137394
-3.25317,0.0517315,-0.730259,1.49631,-2.07174
1.84326,-0.0793509,-0.313285,1.41032,-3.22943
4.91333,-0.221924,0.102153,1.05572,-1.99486
3.479,-0.368924,0.505586,0.564127,1.14571
-0.256348,-0.511746,0.894692,0.0877098,3.78454
-2.74658,-0.641669,1.2655,-0.288238,3.63627
-2.2583,-0.751656,1.60442,-0.571796,0.706182
0.0976562,-0.837222,1.88917,-0.817171,-2.59999
2.28882,-0.896,2.09708,-1.05396,-3.59423
2.82593,-0.926677,2.21397,-1.25314,-1.62053
2.76489,-0.928219,2.23752,-1.34819,1.5509
2.17285,-0.89976,2.17491,-1.28335,3.41727
1.14746,-0.840955,2.03798,-1.04958,2.78973
0.0183105,-0.75248,1.83877,-0.691478,0.426322
-1.9104,-0.636487,1.58675,-0.290588,-1.93191
-3.57666,-0.496961,1.28763,0.0613205,-2.96683
-3.88794,-0.339877,0.943834,0.28978,-2.46064
-3.27759,-0.172956,0.557178,0.362242,-0.995218
-0.476074,-0.00485281,0.133383,0.304044,0.710388
1.96533,0.156107,-0.313022,0.196745,2.16711
2.27661,0.303251,-0.756369,0.151392,3.03913
0.396729,0.432238,-1.16297,0.25812,2.93784
-1.39771,0.540738,-1.4995,0.534941,1.56756
-0.921631,0.627517,-1.74164,0.912436,-0.752304
2.34985,0.691858,-1.87741,1.27153,-2.85681
4.08325,0.733834,-1.90371,1.50872,-3.39862
4.22363,0.754991,-1.8213,1.57774,-2.0365
3.91235,0.758579,-1.63364,1.48235,0.101628
4.52881,0.749127,-1.34927,1.24524,1.39159
5.77393,0.731828,-0.983655,0.890674,1.16571
5.68237,0.712162,-0.558257,0.447161,0.0969245
4.12598,0.695564,-0.0988526,-0.0497045,-0.733889
3.50342,0.686873,0.365104,-0.565076,-0.874418
3.88794,0.689693,0.801195,-1.07019,-0.557984
4.74243,0.706127,1.17713,-1.53364,-0.0865174
5.44434,0.736988,1.46564,-1.90975,0.476527
4.91333,0.782198,1.64843,-2.14183,1.0723
4.32129,0.840989,1.71714,-2.18218,1.42298
4.09546,0.911853,1.67186,-2.01381,1.21988
3.6499,0.992446,1.51918,-1.6576,0.491888
3.21655,1.0796,1.27086,-1.16387,-0.350944
2.49023,1.1694,0.94279,-0.598318,-0.865871
1.53198,1.25731,0.553776,-0.0294841,-0.908349
1.51367,1.33827,0.124216,0.481421,-0.637793
0.952148,1.40688,-0.32472,0.88987,-0.28156
0.219727,1.45768,-0.771518,1.17387,0.0313033
-1.75781,1.4854,-1.19534,1.33091,0.224886
-3.80859,1.4849,-1.57808,1.36743,0.206511
-5.07202,1.45102,-1.90661,1.29045,-0.0436323
-5.18188,1.37856,-2.17321,1.11093,-0.325077
-3.41797,1.26258,-2.37327,0.8572,-0.265937
-0.500488,1.09939,-2.50093,0.586829,0.387126
2.22168,0.88771,-2.54488,0.383684,1.47567
3.44849,0.629732,-2.48707,0.332998,2.38289
2.15454,0.331456,-2.30658,0.479853,2.3236
0.299072,0.00197751,-1.98783,0.791695,0.866741
-0.238037,-0.347928,-1.52916,1.1526,-1.59631
1.08643,-0.707159,-0.946707,1.40375,-3.83694
3.32642,-1.06491,-0.271198,1.41229,-4.46957
3.93677,-1.41062,0.459394,1.12658,-2.98247
3.302,-1.7338,1.20597,0.584889,-0.261632
2.30713,-2.0244,1.93037,-0.118793,1.99421
2.74048,-2.2735,2.5951,-0.87752,2.5883
4.26025,-2.47382,3.16448,-1.59291,1.70785
5.68237,-2.61984,3.60839,-2.17552,0.563608
4.98047,-2.70742,3.90621,-2.54626,0.172601
3.07007,-2.7338,4.0475,-2.65451,0.476704
2.14233,-2.69802,4.02905,-2.50129,0.631963
3.55225,-2.60141,3.85217,-2.13968,0.102894
5.16357,-2.44755,3.52344,-1.6443,-0.681712
4.1687,-2.24158,3.05769,-1.07719,-0.884526
0.976562,-1.9897,2.47808,-0.483534,-0.353113
-1.19019,-1.69939,1.81133,0.0864338,0.151212
-0.3479,-1.3799,1.08252,0.568297,-0.0561131
1.68457,-1.04207,0.314921,0.909525,-0.635779
3.87573,-0.697291,-0.465537,1.10636,-0.586548
6.35986,-0.356037,-1.22591,1.21254,0.534897
8.91113,-0.0265782,-1.92567,1.31229,2.04977
9.25293,0.285764,-2.52022,1.47757,2.77718
6.29272,0.578608,-2.96799,1.72722,1.96287
1.72119,0.85146,-3.24065,1.99925,-0.30895
-0.201416,1.10393,-3.33253,2.1565,-3.15035
1.40991,1.33429,-3.26289,2.0429,-5.09924
4.18091,1.53935,-3.06793,1.57099,-4.75517
5.5603,1.71556,-2.78729,0.782738,-1.83878
4.88892,1.86034,-2.45388,-0.16243,2.20778
3.79639,1.97255,-2.09155,-1.06122,5.00461
3.59497,2.05224,-1.71819,-1.74691,4.98982
4.09546,2.10015,-1.34893,-2.13026,2.58123
3.6499,2.11751,-0.996832,-2.19708,-0.338702
2.23389,2.10591,-0.672466,-1.98861,-2.05763
1.34277,2.06708,-0.384503,-1.58432,-2.19611
1.84326,2.00261,-0.140508,-1.08318,-1.46715
3.03955,1.91388,0.0540401,-0.576638,-0.646845
3.71094,1.80243,0.198344,-0.123248,0.0106549
3.75977,1.67044,0.297981,0.257182,0.538075
3.78418,1.52092,0.363936,0.568112,0.848977
4.54712,1.3576,0.409853,0.816103,0.76592
6.04858,1.18482,0.449709,1.00238,0.32971
8.23975,1.00763,0.497069,1.12748,-0.119022
9.56421,0.831927,0.565246,1.19793,-0.238729
7.53174,0.664579,0.666219,1.22152,-0.0749125
3.95508,0.512716,0.806311,1.18763,-0.128218
0.915527,0.38236,0.979928,1.05048,-0.873871
1.12915,0.276994,1.1665,0.744006,-2.05839
3.96118,0.197095,1.33508,0.232794,-2.58979
7.74536,0.141006,1.45558,-0.434497,-1.40376
9.74731,0.106615,1.51027,-1.11473,1.38632
8.83179,0.0927227,1.49857,-1.62131,4.20706
5.7373,0.099278,1.43265,-1.81104,5.04102
3.04565,0.126429,1.32721,-1.6537,2.99552
2.96021,0.173208,1.19077,-1.24013,-0.848915
4.97437,0.236884,1.0241,-0.724568,-4.06626
6.47583,0.313405,0.825576,-0.24295,-4.61891
7.16553,0.39844,0.597959,0.137453,-2.38044
7.6416,0.488224,0.351166,0.414935,0.852015
7.91626,0.579908,0.10065,0.618876,2.87488
7.36694,0.671515,-0.136273,0.776271,2.70415
4.44946,0.761608,-0.344662,0.891638,0.927938
0.976562,0.84856,-0.516647,0.938223,-1.17094
-0.640869,0.929579,-0.655153,0.864445,-2.56993
0.506592,1.00013,-0.773222,0.624729,-2.74855
3.1311,1.05433,-0.887288,0.22509,-1.55044
5.02319,1.0863,-1.00767,-0.250363,0.717909
5.79224,1.09162,-1.13222,-0.65984,3.09311
5.0293,1.06815,-1.24675,-0.863892,4.26249
3.57056,1.016,-1.33116,-0.788914,3.40248
2.75879,0.936792,-1.36727,-0.4585,0.846383
3.45459,0.832945,-1.34423,0.0218924,-2.03144
4.54712,0.707282,-1.25925,0.514977,-3.67036
6.073,0.563176,-1.11477,0.905621,-3.32747
6.55518,0.404876,-0.91528,1.13104,-1.50789
7.27539,0.237661,-0.665883,1.1802,0.488208
7.05566,0.0676887,-0.372908,1.07467,1.5133
6.21338,-0.0984358,-0.0455775,0.84701,1.25478
4.15039,-0.254332,0.302085,0.524979,0.197263
2.31934,-0.394688,0.649743,0.12454,-0.901626
1.66626,-0.516037,0.970929,-0.344531,-1.4602
3.18604,-0.61707,1.23648,-0.859706,-1.19102
5.50537,-0.698193,1.42121,-1.36366,-0.0807139
6.41479,-0.760517,1.51107,-1.75979,1.52422
5.58472,-0.804953,1.50627,-1.94048,2.84303
3.90625,-0.831994,1.41838,-1.83701,2.96907
2.99683,-0.842167,1.26392,-1.4574,1.56376
2.94189,-0.836619,1.05886,-0.884829,-0.690664
2.27051,-0.817361,0.816861,-0.241383,-2.48065
0.665283,-0.787228,0.549551,0.353723,-2.8704
-2.11182,-0.749898,0.266447,0.807584,-1.99357
-4.06494,-0.71013,-0.0263138,1.05925,-0.76819
-2.65503,-0.673924,-0.326104,1.08509,0.0539866
0.860596,-0.647982,-0.630053,0.915144,0.556333
4.21143,-0.638295,-0.928139,0.646022,1.34139
4.21753,-0.648522,-1.19853,0.419876,2.53313
2.03247,-0.679238,-1.41048,0.361865,3.25606
1.2207,-0.728471,-1.53406,0.512564,2.37324
3.16772,-0.7928,-1.54949,0.809166,-0.145759
5.98755,-0.86794,-1.44965,1.1309,-2.79583
6.5979,-0.948571,-1.23665,1.36598,-3.77083
3.70483,-1.0282,-0.919058,1.4443,-2.68292
-0.518799,-1.09993,-0.514127,1.32336,-0.911974
-3.17993,-1.15805,-0.0525559,0.964961,-0.164177
-3.36304,-1.19947,0.420852,0.344098,-0.747083
-1.67236,-1.22415,0.85426,-0.510325,-1.35328
-0.384521,-1.2342,1.20076,-1.48251,-0.510083
-0.506592,-1.23267,1.42864,-2.38254,1.8399
-1.07422,-1.22252,1.5252,-3.00609,4.18152
-1.12915,-1.20632,1.49442,-3.20511,4.77747
-0.0793457,-1.18618,1.35247,-2.92889,3.17597
0.109863,-1.16366,1.124,-2.22374,0.473811
-1.24512,-1.13964,0.83893,-1.20986,-1.77292
-3.33252,-1.11443,0.527913,-0.0566838,-2.80259
-4.01611,-1.08839,0.216973,1.04282,-2.87124
-1.92261,-1.0623,-0.0751862,1.91143,-2.47741
2.19116,-1.03712,-0.334744,2.43835,-1.66281
4.78516,-1.01285,-0.546995,2.61406,-0.210467
5.07202,-0.987519,-0.692904,2.51832,1.58952
4.00391,-0.956879,-0.752097,2.26207,2.70424
3.74756,-0.91524,-0.710423,1.92458,2.17947
5.28564,-0.856556,-0.566069,1.53023,0.20311
6.20117,-0.775139,-0.330256,1.07112,-1.84878
5.65186,-0.665905,-0.0239899,0.542256,-2.58365
4.82788,-0.524641,0.325027,-0.0435965,-1.78918
5.15137,-0.348477,0.684169,-0.660032,-0.393638
6.71997,-0.13623,1.01856,-1.26875,0.623704
7.09839,0.111695,1.29576,-1.81449,1.03909
5.54199,0.393601,1.48994,-2.23017,1.13802
3.60107,0.706481,1.58264,-2.46127,1.04136
3.21655,1.04563,1.56097,-2.49003,0.616032
4.6875,1.40445,1.41715,-2.33384,-0.0328952
5.96924,1.77491,1.15135,-2.0199,-0.380472
4.81567,2.14846,0.774957,-1.56604,-0.0370783
1.69067,2.51654,0.309812,-0.991155,0.632802
-1.35498,2.87042,-0.217569,-0.342756,0.737234
-2.83813,3.20053,-0.782532,0.293527,-0.166007
-2.56348,3.49621,-1.36468,0.821076,-1.44102
-1.93481,3.74627,-1.94519,1.17761,-1.87906
-1.39771,3.94006,-2.50223,1.36343,-0.857533
-0.250244,4.0686,-3.00841,1.43449,1.04659
1.58081,4.1256,-3.43117,1.47164,2.58182
3.33252,4.10808,-3.73499,1.54796,2.86448
4.5166,4.01689,-3.88491,1.70451,1.9019
4.3396,3.8567,-3.8512,1.93479,0.300336
3.38745,3.6355,-3.61539,2.17913,-1.31233
1.3855,3.36348,-3.17594,2.33381,-2.57544
-0.189209,3.0517,-2.55179,2.27745,-3.31424
0.0671387,2.71085,-1.78181,1.91129,-3.34989
1.46484,2.35067,-0.919118,1.20345,-2.46426
2.99072,1.98002,-0.0217504,0.217451,-0.636532
4.04053,1.60737,0.856569,-0.895023,1.64573
4.10767,1.24125,1.672,-1.93853,3.43732
3.68652,0.890167,2.39171,-2.73441,3.87031
2.02637,0.562201,2.99185,-3.17078,2.7432
0.128174,0.264266,3.45433,-3.22573,0.64927
0.274658,0.00136,3.76447,-2.95853,-1.39022
2.21558,-0.223745,3.91168,-2.4718,-2.41951
4.81567,-0.410031,3.89369,-1.86127,-1.96219
5.17578,-0.557263,3.72112,-1.18463,-0.34106
3.8269,-0.665282,3.41766,-0.470302,1.33652
2.59399,-0.734071,3.01456,0.247815,1.82928
3.24707,-0.764321,2.5435,0.908214,0.759759
5.80444,-0.757731,2.03292,1.43678,-0.960044
7.89185,-0.716614,1.50925,1.78384,-1.85975
6.71387,-0.64319,0.998988,1.94488,-1.24979
3.00903,-0.539438,0.526771,1.94157,0.0952918
-0.427246,-0.407932,0.108715,1.78275,0.678624
-0.57373,-0.253069,-0.25329,1.45009,-0.166312
2.51465,-0.0815333,-0.569989,0.931599,-1.47332
5.97534,0.0986116,-0.855368,0.275113,-1.51986
7.00073,0.279645,-1.11598,-0.392579,0.38734
4.94385,0.4555,-1.34696,-0.909756,3.00036
2.80151,0.621835,-1.53699,-1.15953,4.10519
